Dates,15:52 18 Jun. 2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle,Dynamic Loft,ImpactHorizontal,ImpactVertical,ClubSpeed,SmashFactor
Driver,5,160.1,L6.4,12.1,2784,L28.4,2456,L1328,45.8,270.2,285.4,L48.3,32.9,L2.8,L6.8,3.8,13.4,T4.2,-30.6,48.8,1.47
Driver,6,145.2,R0.8,8.4,1892,R0.4,1890,R48,28.1,237.8,265.4,R3.2,21.8,R0.9,R0.7,6.8,9.8,T18.4,-44.1,47.2,1.38
Driver,7,161.4,R0.4,12.6,2498,R1.8,2491,R155,47.1,275.8,293.4,R5.3,33.6,R1.2,R0.6,4.5,13.4,T0.8,-28.2,48.9,1.48
Driver,8,159.7,L4.2,14.8,3241,L22.1,2999,L1218,49.8,265.4,272.1,L34.8,36.2,L3.4,L4.8,3.2,15.8,H6.2,-31.0,49.4,1.45
Driver,9,160.6,L0.2,12.4,2571,L3.2,2558,L180,46.4,274.8,291.8,L2.8,33.1,R0.8,L0.4,4.1,13.6,T2.4,-28.8,48.7,1.48
PW,0,101.0,L1.8,28.4,8642,L4.8,8614,L422,28.2,122.4,124.1,L6.4,52.1,R1.2,L2.8,-4.8,38.2,T4.2,-15.8,35.8,1.26
PW,1,93.8,R2.4,21.8,6284,R2.1,6271,R221,19.8,111.3,120.8,R8.4,42.1,R1.8,R1.9,-2.1,29.4,T16.8,-20.4,35.4,1.18
PW,2,102.4,L0.4,29.1,8924,L1.8,8908,L263,29.1,124.8,126.2,L2.8,53.4,R0.8,L0.6,-5.2,39.1,T2.8,-13.6,36.1,1.27
PW,3,99.4,L3.2,27.8,8214,L8.4,8128,L728,27.1,120.6,122.4,L14.2,51.8,L0.4,L3.6,-4.4,37.8,H9.4,-17.2,35.9,1.24
PW,4,102.1,R1.1,28.8,8541,R2.4,8524,R203,28.8,123.2,124.8,R6.8,52.8,R1.6,R1.2,-4.9,38.6,T3.8,-14.8,36.3,1.26
PW,5,84.8,L0.8,18.4,4892,L2.1,4878,L164,12.4,88.4,95.2,L4.2,38.4,R0.4,L1.2,-1.2,24.8,H22.4,-25.2,35.2,1.08
PW,6,102.8,L2.1,29.4,9041,L6.2,8984,L562,29.4,125.1,126.8,L10.4,53.8,R0.6,L2.4,-5.1,39.4,T1.4,-13.2,36.2,1.27
PW,7,100.2,R3.8,27.2,8128,R6.8,8054,R698,26.8,119.8,121.4,R18.6,51.2,R2.4,R3.2,-4.2,37.2,T8.2,-16.8,35.8,1.25
PW,8,103.1,L0.6,29.8,9184,L2.8,9158,L268,29.8,125.8,127.4,L4.1,54.2,R0.8,L0.8,-5.4,39.8,T0.8,-11.8,36.4,1.27
PW,9,97.4,R4.8,26.4,7684,R12.4,7521,R1094,25.4,116.8,119.2,R24.8,49.8,R3.2,R4.1,-3.8,36.4,T24.8,-20.6,35.6,1.22
,Average,112.3,L0.5,17.4,5692,L11.4,5645,L872,27.4,149.3,157.6,L10.0,42.1,R2.8,L1.3,-2.8,24.3
,Deviation,4.2,2.2,5.1,2306,18.1,1872,1258.9,9.5,27.8,16.0,14.4,12.2,2.4,2.6,2.0,6.6
